"hotelNo","hotelName","address1","address2","postalCode","areaCode","areaName","","","","","","","","","","","","",""
"168392","ＴＨＥ　ＧＡＴＥ　ＨＯＴＥＬ（ザ・ゲートホテル）　東京　ｂｙ　ＨＵＬＩＣ","東京都","千代田区有楽町2-2-3","100-0006","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"864","銀座国際ホテル","東京都","中央区銀座8-7-13","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"165001","アパホテル〈ＴＫＰ東京西葛西〉","東京都","江戸川区西葛西6-15-24","134-0088","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"5001","ホテルモントレ　ラ・スールギンザ","東京都","中央区銀座1-10-18","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"128268","ヴィアイン秋葉原（ＪＲ西日本グループ）","東京都","千代田区神田須田町2丁目19番4号","101-0041","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"158639","ＨＯＴＥＬ　ＡＸＡＳ　ＮＩＨＯＮＢＡＳＨＩ（ホテルアクサス日本橋）","東京都","中央区日本橋箱崎町20-12 ホテルアクサス日本橋","103-0015","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"172409","ＤＤＤ　ＨＯＴＥＬ","東京都","中央区日本橋馬喰町2-2-1","103-0002","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"181069","ＭＵＪＩ　ＨＯＴＥＬ　ＧＩＮＺＡ","東京都","中央区銀座3-3-5　6F","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"129539","アパホテル〈築地駅南〉","東京都","中央区築地7丁目10番11号","104-0045","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"165193","アパホテル〈神田駅前〉","東京都","千代田区鍛冶町2-10-3","101-0044","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"182801","天然温泉　七宝の湯　ドーミーインＰＲＥＭＩＵＭ銀座","東京都","中央区銀座6-16-8","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"172210","ｈｏｔｅｌ　ＭＯＮｄａｙ　東京西葛西","東京都","江戸川区西葛西6-8-7","134-0088","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"4913","銀座クレストン（旧東京新阪急ホテル）","東京都","中央区明石町８番　聖路加タワー内","104-0044","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"138036","アパホテル〈秋葉原駅前〉","東京都","千代田区神田佐久間町2-13-20","101-0025","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"168198","ザ・スクエアホテル銀座","東京都","中央区銀座2-11-6","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"70295","コンフォートホテル東京東日本橋","東京都","中央区日本橋馬喰町1-10-11","103-0002","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"1835","アルモントイン東京日本橋","東京都","中央区日本橋小網町4-6","103-0016","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
